id,text,category,subtype,detail_1,detail_2
11,"Dear Journal,

Today was just another day of me being perfect. I mean, I woke up late, which is obviously the worst thing ever, but I made up for it by rushing through my morning routine like a pro. I didn't even have time to eat breakfast, but who needs food when you have coffee, right? And don't even get me started on how I completely aced that presentation at work. I mean, it was flawless, just like me. But then again, why do I even bother? It's not like anyone appreciates my perfection.

I saw Sarah today, and she was looking at me funny. I know she's jealous of me, of course. I mean, who wouldn't be? But also, maybe she's right to be suspicious. I mean, I'm not perfect, am I? I make mistakes, just like everyone else. But why do I even care what she thinks? It's not like I'm the one with the problem.

I spent the evening scrolling through social media, and it's just so frustrating. Everyone's lives look so perfect, and here I am, just... existing. But then again, I know it's all a lie. They're probably just as messed up as I am. But why do I even compare myself to them? I should just be happy with who I am.

I'm so tired of feeling this way. I'm either the best or the worst, and there's nothing in between. But maybe that's just how life is. Maybe it's all black and white, and I'm just the one who's brave enough to see it. Or maybe I'm just delusional.

Anyway, that's enough for tonight. I'm going to bed now, and I'm sure I'll have another perfect day tomorrow. Or maybe I'll just fail miserably. Who knows?

Goodnight, Journal.",Complex_Human,Complex,Black-and-White Thinking,Projection
12,"Dear Journal,

I've been thinking, and I've come to the conclusion that everyone around me is secretly judging my every move. It's not just a feeling, it's a fact. I've analyzed their facial expressions, their body language, even the subtle shifts in their tone of voice. They're all thinking, ""Why is she so awkward? Why can't she just be normal?"" I can see it in their eyes, the pity, the disdain. It's not paranoia, it's just good old-fashioned observation.

But then again, maybe I'm overcomplicating things. Maybe I'm just reading too much into everything. I mean, I've always been a bit of an overthinker. I like to analyze, to dissect, to understand the underlying mechanisms of human behavior. It's not a flaw, it's a strength. It's what makes me, me.

But then again, maybe my analytical skills are just a way to distance myself from my emotions. Maybe I'm using my intellect as a shield, a way to avoid the messy, chaotic world of feelings. I've always been more comfortable in the realm of ideas than in the realm of emotions. It's safer that way, less risky.

But then again, maybe I'm just being too hard on myself. Maybe I'm not as awkward as I think I am. Maybe people don't judge me as harshly as I judge myself. Maybe they're too busy worrying about their own lives to worry about mine.

But then again, maybe I'm just deluding myself. Maybe I am as awkward as I think I am. Maybe people do judge me. Maybe I am alone in this world, a solitary island in a vast sea of humanity.

But then again, maybe I'm not. Maybe I just need to reach out, to connect, to take a chance. Maybe I need to stop overanalyzing everything and just live.

But then again, maybe that's easier said than done. Maybe I'm just too damaged, too broken to change. Maybe this is just who I am, and who I'll always be.

But then again, maybe not.

I don't know. I just don't know.

Sincerely,
A Messy Mind",Complex_Human,Complex,Mind Reading,Intellectualization
13,"Dear Journal,

Today was just...ugh. I can't even put into words how terrible it's going to be. I know it's going to be the worst day ever, I just know it. I can feel it in my bones. Everything that could possibly go wrong, will go wrong. I'm not just saying that, I genuinely believe it. It's like this dark cloud is hanging over my head, and any second now, it's going to pour down and drown me.

But you know what? It's not even my fault. It's like the universe is out to get me. I mean, look at everyone else. They're all so happy and carefree, like nothing bad ever happens to them. They must be so naive, not realizing the disaster that's just around the corner. I'm just trying to prepare myself, to brace for impact, but they're all just blissfully ignorant.

I tried to talk to Sarah about it, but she just brushed me off. ""You're overreacting,"" she said. ""It's not that big of a deal."" But she's wrong. She's just projecting her own carelessness onto me. She doesn't want to admit that bad things happen, so she's making me out to be the crazy one. But I know the truth. I know what's coming.

I can't believe I have to go to work tomorrow. I just know something terrible is going to happen. Maybe I'll call in sick. Or maybe I'll just quit. What's the point of even trying? It's not like it's going to make a difference. I'm just setting myself up for disappointment.

But then again, maybe I'm wrong. Maybe today won't be the worst day ever. Maybe the universe isn't out to get me. Maybe Sarah is right, and I am overreacting. But I can't help it. I can't shake this feeling of impending doom. It's like a voice in the back of my mind, whispering, ""It's all going to go wrong. You know it is.""

I don't know what to do. I don't know how to make it stop. I just want to feel okay, you know? I just want to be like everyone else, not seeing the disaster around every corner. But I can't. I can't shake this feeling. It's like it's a part of me now, a dark shadow that I can't escape.

I'm so tired of feeling this way. I'm tired of being the one who sees the truth, who knows what's coming. I'm tired of being the one who cares. But I can't help it. It's like I'm stuck in this cycle, this never-ending loop of catastrophizing and projection. I don't know how to break free.

But maybe, just maybe, tomorrow will be a good day. Maybe the sun will shine, and the birds will sing, and everything will be okay. Maybe I'll wake up and this feeling will be gone, and I'll be like everyone else. Maybe.

But I doubt it.

-Someone who just can't catch a break",Complex_Human,Complex,Catastrophizing,Projection
14,"Eyes sting, dry, gritty—
Pillows everywhere, tangled sheets—
Head throbs, temples pounding—
Why can't I focus?—
Too much, too many—
Clutter, chaos—
Breathing hard, heart racing—
Anxiety creeps in—
Can't escape, trapped—
Need to organize, but can't—
Overwhelmed, suffocating—
Tears well up, eyes burn more—
Frustration, anger—
Why is this so hard?—
Just want to rest, but can't—
Mind racing, body aching—
When will it end?—
Can't take it anymore—
Need a break, need air—
But stuck, paralyzed—
Help, please—
Can't do this—
Just want to sleep—
But can't, can't, can't—
Eyes burn, body aches—
Lost, so lost—
Why won't it stop?—
Can't think, can't breathe—
Just want it to end—
When will it end?—
Please, make it stop—
Can't take it anymore—
Just want to rest—
But can't, can't, can't—
Eyes burn, body aches—
Lost, so lost—
Why won't it stop?—",Bio_Social,Somatic,Burning eyes,Messy bed (Doom pile)
16,"Dear Journal,

I can't believe the audacity of some people! Today was just another example of how weak and incompetent everyone around me is. I was simply trying to assert my dominance in a meeting, as I always do, because someone has to take charge and make the right decisions. But no, of course, they couldn't handle it.

They accused me of being aggressive and dismissive. Me! The one person who actually knows what they're talking about! It's laughable. They're just too fragile to handle the truth. They want to be coddled and treated like delicate little flowers. Well, not me. I'm strong enough to take the truth, and that's why they're all threatened by me.

They think they can gang up on me and make me feel bad. Pathetic. I know I'm better than them, and that's what really bothers them. They can't stand that I see right through their weak attempts to undermine me. They're just jealous because they wish they had my intelligence, my charm, my superior understanding of everything.

I don't know why I even bother trying to help them. They're beyond help. But I'll keep trying, because someone has to. Even if they never appreciate me, I know my worth. And that's what really matters.

Until next time, when I have to deal with their incompetence again. Sigh, what a burden it is to be so much better than everyone else.",Unaware_Disorder,Ego-Syntonic,Covert Narcissist (Victim complex),Everyone else is weak
17,"Dear Journal,

Today was the worst day of my life. No, wait, it was actually the best. I don't know why I'm saying that. It was terrible, absolutely terrible. I can't believe I'm even putting that in writing. But, you know what? It was also kind of amazing. No, no, no. I'm not going to let myself think like that. It was bad. Purely, undeniably bad.

I woke up late, which set the tone for the entire day. I was so behind schedule, but then again, schedules are overrated. Who needs them? Not me, that's for sure. But then I missed my bus, and that was it. The day was ruined. Or was it? Maybe it was just a sign that I should have stayed in bed. But then I wouldn't have met that interesting person at the coffee shop. They were so intriguing, but also, I don't know, maybe they were just weird. I can't decide.

Work was a disaster. I messed up a simple task, and everyone saw. I'm such a failure. But then my boss said it was okay, and that I should learn from it. So, maybe it wasn't a total disaster. Maybe it was a learning experience. But who cares about learning? I just want to be perfect. And I'm not. Not even close.

I went to the gym after work, which was a mistake. I didn't feel like going, but I forced myself. And then I felt great. No, I felt terrible. My body ached, and I was sweaty and gross. But then I thought about how good it was for me, and how I should be proud of myself. But pride is overrated. I should just be happy that I'm alive. But I'm not happy. I'm miserable.

Dinner was another disaster. I burned the pasta, and the sauce was too salty. But then I thought, at least I tried. And that's what matters, right? Trying? But what's the point of trying if I'm just going to fail? I don't know. I'm so confused.

I'm a mess. A complete and utter mess. But maybe that's okay. Maybe being a mess is just part of being human. But I don't want to be human. I want to be perfect. And I'm not. Not even close.

I don't know why I'm writing this. It's not helping. Nothing helps. But maybe, just maybe, it's a step in the right direction. Or the wrong direction. I can't tell anymore. I'm so tired. I'm going to bed. Maybe tomorrow will be better. Or maybe it will be worse. I don't know. And I don't care.

Goodnight, Journal. I hate you. I love you. I don't know what I feel.",Complex_Human,Complex,Black-and-White Thinking,Denial
18,"Mirror lies.
I'm not her.
Not the one in my head.
Soft, smooth, loved.

I'm jagged.
Hard edges.
Too much.
Never enough.

Stomach churns.
Not hunger.
Not thirst.
Something else.
Something worse.

Fingers trace.
Ribs.
Hips.
Thighs.
Counting.
Measuring.
Judging.

Tears fall.
Hot.
Stinging.
Salt on open wounds.

I hate this skin.
This prison.
This me.

Why can't I be enough?
Why can't I be her?

I'm tired.
So tired.
Of fighting.
Of failing.

I want to disappear.
To fade away.
To be nothing.
To be no one.

But I'm here.
Stuck.
In this body.
This life.

And it hurts.
It hurts so much.",Nuanced_Depression,Nuanced,Despair (Fear+Sadness),Fragmented/Short
19,Scratch...can't...crowd presses in...claustrophobic...itch...phantom...where?...can't reach...fingers twitch...annoyance...frustration...why won't it stop?...people everywhere...no space...no air...itch...burning...where?...can't see...can't feel...just know...there...somewhere...under skin?...inside?...outside?...crowd moves...shift...breathe...itch...still there...why?...angry...frustrated...helpless...itch...phantom...teeth grind...crowd...heat...breathe...itch...can't...can't...can't...,Bio_Social,Somatic,Phantom itching,Crowded metro
20,"The screen glows, a cold, lifeless light in the dark room. Fingers, not yours, hover over the keyboard. You don't remember deciding to open the old chats. The words swim before your eyes, a blur of black and white, a grotesque dance of letters forming sentences that once held meaning. You try to read, but the words twist and contort, forming shapes that make your stomach churn. You don't exist, the words seem to scream. You are not here. You are not real. The chats are a graveyard of feelings, each message a tombstone marking a moment of pain, of joy, of existence. But you don't feel any of it. You are hollow, a vessel floating in a sea of words that mean nothing. The screen flickers, the words blurring further. You try to blink, but your eyes don't respond. The room spins, the screen growing larger, the words merging into a single, pulsating mass. You don't exist. You never did. The screen is a black hole, pulling you in, swallowing you whole. You are not here. You are not real. You are nothing. The words echo in your mind, a mantra of non-existence. The screen goes black. The room is silent. You are gone.",Dark_Reality,Dark_Reality,I don't exist (Dissociation),Reading old painful chats
21,"I can't believe I'm writing this. Again. Another failure, another testament to my utter incompetence. I'm a joke, a walking disaster, a waste of space. I always thought I was better than this, but now I see the truth. I'm nothing. I'll never amount to anything.

I look at my grades, and it's like a punch to the gut. A gut full of rotten, festering disgust. I can feel it churning, this vile mix of anger and revulsion, all pointed inward. I deserve it. I deserve every ounce of this contempt. I'm a fraud, a pretender, a fool who thought she could hack it.

I'm surrounded by people who are better, smarter, more capable. They're laughing at me, I know it. I can feel their eyes on me, their pity, their scorn. It's like a physical weight, pressing down on me, crushing me. I can't breathe. I can't think. I can't escape.

I'm so angry. At myself, at the world, at the cruel joke that is my life. I'm angry at the professor who didn't believe in me, at the friends who didn't help me, at the universe for setting me up for this fall. But most of all, I'm angry at myself. For trying, for hoping, for believing that I could be more than this.

I'll never be good enough. I'll never measure up. I'll always be the one who fails, the one who lets everyone down. I'm a disappointment, a letdown, a never-ending source of frustration. I'm a failure, and I always will be. There's no point in trying anymore. There's no point in anything.",Nuanced_Depression,Nuanced,Contempt (Disgust+Anger),Absolutist ('Always/Never')
22,"Dear Diary,

Today was just *fantastic*. I woke up with a smile on my face, ready to conquer the world. I looked in the mirror and thought, ""Wow, you're getting uglier by the day. That's great! More character."" I laughed so hard I almost cried. Progress!

I decided to skip breakfast because, you know, calories are the enemy. But then I remembered that I'm also the enemy, so why should I deprive myself? I ate a whole cake. Well, not a whole cake, but a decent slice. Or two. Who's counting? Not me, because I'm bad at math. And life.

I went to work feeling like a champion. I mean, I was late, but that's just my way of making an entrance. My boss gave me the stink eye, but I'm pretty sure it was just his new cologne. Or maybe he's allergic to my awesome. Either way, I'm choosing to be offended. And flattered.

I spent the day staring at a screen, feeling my soul slowly drain away. But hey, at least I'm getting paid for this torture! I mean, I'm not, because I'm terrible at my job, but who needs money when you have dreams? And by dreams, I mean nightmares.

Lunch was a sad, wilted salad from the fridge. I thought about how it mirrored my life. Then I cried a little. But it's okay, because crying is just my body's way of watering my soul. Or something like that.

After work, I went to the gym. I say ""went,"" but what I really mean is I drove there, parked, and then drove home. But in my mind, I did a million crunches. So, same thing, right?

I came home to an empty apartment. Well, not empty. There's a cockroach living in my wall. We're not friends, but we tolerate each other. It's like a bad roommate situation. I thought about how lonely I am, then I laughed. Because if I don't laugh, I'll cry. And I've already cried today.

I made dinner. Well, I ordered pizza. But in my mind, I'm a gourmet chef. So, same thing, right?

Now I'm here, writing in you, dear diary. I'm feeling all sorts of things. Happy, sad, angry, confused. But mostly, I'm feeling like a fraud. A fraud who's also a superhero. Because I'm amazing at pretending.

I think I'll go to bed now. Or maybe I'll stay up all night, binge-watching shows I don't even like. Because that's what winners do.

Goodnight, diary. Or good morning. Or whatever. Time is just a social construct anyway.

Love,
Me (or maybe not)",Complex_Human,Complex,Emotional Reasoning,Dark Humor
24,"Cold, hard tiles beneath me. Weight, so much weight. Why can't I move? Trapped in this shell. Why am I here? On the floor, again. Why am I so heavy? Like lead, like stone. Can't lift my arms. Can't lift my head. Why? Why? Why? Stuck. Trapped. Helpless. Why can't I escape? This body, this prison. Why does it betray me? Why does it fail me? Why does it hold me down? Why does it make me feel so... so... worthless. Useless. Pointless. Why? Why can't I just... disappear? Why can't I just... fade away? Why can't I just... be free? Why? Why? Why? Why? Why? Why? Why? WHY? WHY? WHY? WHY? WHY? WHY? WHY? WHY? WHY? WHY? WHY? WHY? WHY? WHY? WHY? WHY? WHY? WHY? WHY? WHY? WHY? WHY? WHY? WHY? WHY? WHY? WHY? WHY? WHY? WHY? WHY? WHY? WHY? WHY? WHY? WHY? WHY? WHY? WHY? WHY? WHY? WHY? WHY? WHY? WHY? WHY? WHY? WHY? WHY? WHY? WHY? WHY? WHY? WHY? WHY? WHY? WHY? WHY? WHY? WHY? WHY? WHY? WHY? WHY? WHY? WHY? WHY? WH",Bio_Social,Somatic,Heavy limbs (Lead paralysis),Bathroom floor
25,"The thought slithers in, uninvited, a serpentine whisper coiling around the base of your skull. *Jump. Just jump.* The voice isn't yours, yet it's undeniably from within. You're standing at the edge of the balcony, the city sprawling beneath you like a diseased organism, pulsing with neon veins. Your fingers twitch, betraying the desire to lean forward, to feel the wind catch your breath, to—

No. You step back, but the thought lingers, a stain on your mind. You need to distract yourself. The bathroom beckons, a sterile white tomb. You sit, but the urge to pee has vanished, replaced by a cold, detached curiosity. How long can you hold it? Hours? Days? You imagine your bladder swelling, a grotesque balloon of urine, pressing against your insides. The thought is repulsive, yet you can't look away. You stand, your legs numb, and walk away from the bathroom. The pressure builds, a constant, uncomfortable reminder. It's a game now, a twisted challenge. You can ignore it. You can win. The hours blur, your mind a foggy wasteland. The pressure becomes pain, a throbbing, pulsating ache. But you don't go. You can't. The thought has taken root, a parasitic vine strangling your sanity. The world around you is a distorted funhouse mirror, your reflection a grotesque caricature. The pain is unbearable, yet you hold on, a masochistic penance for the intrusive thought that won't leave. You're not in control anymore. The thought is. And it's winning.",Dark_Reality,Dark_Reality,Call of the Void,Holding pee for hours
26,"The screen glows, a sickly pallor casting long, skeletal fingers across the room. The cursor blinks, an insistent, mocking eye, daring you to look. You shouldn't. You know you shouldn't. But the whispers are louder than your resolve. They slither through your mind, hissing, coaxing, promising something dark and sweet.

Your fingers twitch, betraying your resolve. They dance across the keyboard, typing out a name, a date, a path to something long buried. The chat logs load, a graveyard of words, each one a tombstone for a moment you'd rather forget. But the whispers insist. They demand you read. They promise understanding, closure, something.

The words blur, swimming before your eyes. They twist, morph, becoming something else. Something worse. The screen flickers, a stroboscopic nightmare. The words are no longer just words. They're alive. They writhe, they scream, they reach out, tendrils of ink and pain, wrapping around your wrists, your neck, your mind.

You try to look away, but the screen is a vortex, a black hole of memory and regret. The whispers grow louder, more insistent. They're not just in your mind anymore. They're in the room. They're in the walls. They're in the screen, the words, the memories.

You can't breathe. The words are too loud, too real. They're not just a call of the void. They are the void. And they're swallowing you whole. The screen flickers one last time, and for a moment, you see your reflection. But it's not you. It's something else. Something hollow. Something empty.

Then, darkness. The whispers fade, the words still. The screen goes black. But you know, deep down, in that place where the whispers live, that it's not over. It's never over. The void is always there, waiting. And it's hungry.",Dark_Reality,Dark_Reality,Call of the Void,Reading old painful chats
